Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Team's Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;GD@15;Total damage taken
Breathe;TOP;WBG;LNG;Zika;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Blue;00:27:53;Ivern;Lucian;Corki;Renekton;KSante;Renekton;Loss;7;1;1;0;15;0;3;3;1;232;0;0;8.3;9109;327;0.194;23.33;7;5;2;0;0.84;0.25;0.07;0.18;0.11;12989.08;9570.55;2382.55;1035.98;466;0.225;0.11;0.429;-717;24869.7
Tarzan;JUNGLE;WBG;LNG;WeiWei;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Blue;00:27:53;Ziggs;Rumble;KSante;Ashe;Zyra;Brand;Loss;7;1;1;0;13;3;6;1;0.7;190;174;0;6.8;9665;347;0.205;45.28;14;7;9;0;1.62;0.5;0.32;0.25;0.214;14776.48;521.27;13019.8;1235.41;530;0.256;0.14;0.571;664;16228.6
xiaohu;MID;WBG;LNG;Scout;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Blue;00:27:53;Yone;Miss_Fortune;Ezreal;Smolder;Corki;Smolder;Loss;7;1;1;0;14;2;5;3;1;258;9;0;9.3;11371;408;0.242;27.79;12;5;3;0;1;0.43;0.11;0.18;0.132;15283.87;11137.1;3022.51;1124.26;548;0.265;0.18;0.714;-1106;16662
Light;ADCARRY;WBG;LNG;GALA;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Blue;00:27:53;Braum;Leona;Zyra;Rell;Ezreal;Ashe;Loss;7;1;1;0;14;1;2;1;1;261;0;0;9.4;10820;388;0.23;18.09;8;4;0;0;0.65;0.29;0;0.14;0.086;10573.57;5812.11;4761.46;0;379;0.183;0.07;0.286;-666;11483.6
Crisp;SUPPORT;WBG;LNG;Hang;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Blue;00:27:53;Maokai;Alistar;Poppy;Brand;Poppy;Rell;Loss;7;1;1;0;10;1;3;3;1.3;31;0;0;1.1;6080;218;0.129;96.71;53;11;20;0;3.47;1.9;0.72;0.39;0.458;4123.55;2594.32;813.23;716;148;0.071;0.14;0.571;-77;13838
Zika;TOP;LNG;WBG;Breathe;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Red;00:27:53;Lucian;Ivern;Renekton;Corki;Renekton;KSante;Win;19;8;2;1;18;3;0;6;Perfect_KDA;308;14;0;11;13715;492;0.23;37.74;16;6;6;0;1.35;0.57;0.22;0.22;0.143;14750.05;12278.6;2225.45;246;529;0.227;0.32;0.474;717;28177.2
WeiWei;JUNGLE;LNG;WBG;Tarzan;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Red;00:27:53;Rumble;Ziggs;Ashe;KSante;Brand;Zyra;Win;19;8;2;1;15;3;3;9;4;184;171;0;6.6;10990;394;0.184;39.31;12;7;10;0;1.41;0.43;0.36;0.25;0.149;16140.18;741.52;15013.3;385.36;579;0.248;0.43;0.632;-664;23783.9
Scout;MID;LNG;WBG;xiaohu;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Red;00:27:53;Miss_Fortune;Yone;Smolder;Ezreal;Smolder;Corki;Win;19;8;2;1;16;11;3;4;5;267;12;0;9.6;14885;534;0.25;40.92;11;13;3;0;1.47;0.39;0.11;0.47;0.155;19304.87;14893.3;2397.24;2014.33;692;0.297;0.54;0.789;1106;16218.2
GALA;ADCARRY;LNG;WBG;Light;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Red;00:27:53;Leona;Braum;Rell;Zyra;Ashe;Ezreal;Win;19;8;2;1;16;2;1;9;11;290;0;0;10.4;12563;451;0.211;35.68;9;7;1;0;1.28;0.32;0.04;0.25;0.135;12337.84;9893.28;2376.56;68;442;0.19;0.39;0.579;666;9665.03
Hang;SUPPORT;LNG;WBG;Crisp;31.08.2024;1;1;v14.15;Regional_Finals_2024;1;3;5;1;Red;00:27:53;Alistar;Maokai;Brand;Poppy;Rell;Poppy;Win;19;8;2;1;11;0;0;12;Perfect_KDA;31;0;0;1.1;7417;266;0.125;110.77;56;14;15;0;3.97;2.01;0.54;0.5;0.419;2478.35;411.81;1544.54;522;89;0.038;0.43;0.632;77;11382.9
Breathe;TOP;WBG;LNG;Zika;31.08.2024;1;1;v14.15;Regional_Finals_2024;2;3;5;2;Blue;00:28:33;Ziggs;Lucian;Renekton;Corki;Renekton;Gnar;Loss;8;1;0;0;15;2;6;2;0.7;247;0;0;8.7;10898;382;0.238;25.47;8;6;5;0;0.89;0.28;0.18;0.21;0.114;11768.58;10228.8;1539.78;0;412;0.19;0.14;0.5;-727;33785.1
Tarzan;JUNGLE;WBG;LNG;WeiWei;31.08.2024;1;1;v14.15;Regional_Finals_2024;2;3;5;2;Blue;00:28:33;Ashe;Rumble;Miss_Fortune;Maokai;Sejuani;Maokai;Loss;8;1;0;0;12;1;4;5;1.5;140;124;0;4.9;8110;284;0.177;45.11;16;13;17;0;1.58;0.56;0.6;0.46;0.202;9122.49;5226.31;3328.18;568;320;0.147;0.21;0.75;727;33212.4
xiaohu;MID;WBG;LNG;Scout;31.08.2024;1;1;v14.15;Regional_Finals_2024;2;3;5;2;Blue;00:28:33;Ivern;Zeri;Smolder;Jhin;Smolder;Corki;Loss;8;1;0;0;13;1;4;6;1.8;213;8;0;7.5;9660;338;0.211;33.83;11;10;2;0;1.18;0.39;0.07;0.35;0.151;19888.39;14167.1;4010.15;1711.14;697;0.32;0.25;0.875;-621;20331.2
Light;ADCARRY;WBG;LNG;GALA;31.08.2024;1;1;v14.15;Regional_Finals_2024;2;3;5;2;Blue;00:28:33;Rell;Brand;Sejuani;Gnar;Miss_Fortune;Jhin;Loss;8;1;0;0;14;4;3;1;1.7;276;7;0;9.7;11166;391;0.244;25.76;7;14;1;0;0.9;0.25;0.04;0.49;0.115;17027;16545.3;481.7;0;596;0.274;0.18;0.625;877;12789
Crisp;SUPPORT;WBG;LNG;Hang;31.08.2024;1;1;v14.15;Regional_Finals_2024;2;3;5;2;Blue;00:28:33;KSante;Nidalee;Braum;Rakan;Braum;Rakan;Loss;8;1;0;0;10;0;6;4;0.7;27;0;0;0.9;5933;208;0.13;93.31;48;12;21;0;3.27;1.68;0.74;0.42;0.418;4264.8;561.77;3388.08;314.95;149;0.069;0.14;0.5;-135;24225.2
Zika;TOP;LNG;WBG;Breathe;31.08.2024;1;1;v14.15;Regional_Finals_2024;2;3;5;2;Red;00:28:33;Lucian;Ziggs;Corki;Renekton;Gnar;Renekton;Win;23;8;4;1;17;8;1;8;16;256;20;0;9;13347;467;0.23;36.05;11;9;4;0;1.26;0.39;0.14;0.32;0.128;29384.95;22708.7;6002.25;674;1029;0.288;0.56;0.696;727;21032.5
